"","Admitted","Disposition_binary","Place","F_Aid","Species_e","Sex_e","Age_e","Brought_in_after","season","r","Green_Orange","ID"
"1105","7/19/1996","Released","Lindsey","Yes","Selasphorus","unknown","Nestling",0,"Summer","unknown","Selasphorus spp.","1105_ALHU"
"1106","7/20/1996","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Summer","caught by domestic animal","Non-selasphorus spp.","1106_ANHU"
"1107","7/23/1996","Died","Lindsey","No","Selasphorus","Female-like","adult-like",0,"Summer","found on the ground","Selasphorus spp.","1107_ALHU"
"1108","7/25/1996","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Summer","unknown","Non-selasphorus spp.","1108_ANHU"
"1109","8/1/1996","Released","Lindsey","No","Selasphorus","Female-like","adult-like",0,"Summer","window hit","Selasphorus spp.","1109_ALHU"
"1110","8/3/1996","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Summer","found inside","Non-selasphorus spp.","1110_ANHU"
"1111","8/3/1996","Died","Lindsey","Yes","ANHU","Female-like","adult-like",8,"Summer","found on the ground","Non-selasphorus spp.","1111_ANHU"
"1112","8/8/1996","Died","Lindsey","Yes","ANHU","Female-like","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","1112_ANHU"
"1113","8/10/1996","Died","Lindsey","No","Selasphorus","Female-like","adult-like",0,"Summer","window hit","Selasphorus spp.","1113_RUHU"
"1114","8/17/1996","Released","Lindsey","No","Selasphorus","Female-like","adult-like",0,"Summer","caught by domestic animal","Selasphorus spp.","1114_ALHU"
"1115","8/24/1996","Released","Lindsey","No","Selasphorus","Female-like","adult-like",0,"Summer","caught by domestic animal","Selasphorus spp.","1115_ALHU"
"1116","8/27/1996","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Summer","unknown","Non-selasphorus spp.","1116_ANHU"
"1117","8/30/1996","Died","Lindsey","No","Selasphorus","Female-like","adult-like",0,"Summer","found on the ground","Selasphorus spp.","1117_ALHU"
"1118","9/4/1996","Died","Lindsey","Yes","ANHU","Female-like","adult-like",1,"Fall","caught by domestic animal","Non-selasphorus spp.","1118_ANHU"
"1119","9/8/1996","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Fall","caught by domestic animal","Non-selasphorus spp.","1119_ANHU"
