"","Admitted","Disposition_binary","Place","F_Aid","Species_e","Sex_e","Age_e","Brought_in_after","season","r","Green_Orange","ID"
"1282","7/4/1997","Released","Lindsey","No","ANHU","Female-like","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","1282_ANHU"
"1283","7/5/1997","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Summer","caught by domestic animal","Non-selasphorus spp.","1283_ANHU"
"1284","7/9/1997","Died","Lindsey","Yes","ANHU","Female-like","adult-like",0,"Summer","unknown","Non-selasphorus spp.","1284_ANHU"
"1285","7/9/1997","Died","Lindsey","Yes","ANHU","Female-like","adult-like",0,"Summer","unknown","Non-selasphorus spp.","1285_ANHU"
"1286","7/10/1997","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Summer","unknown","Non-selasphorus spp.","1286_ANHU"
"1287","7/10/1997","Released","Lindsey","No","ANHU","Female-like","adult-like",0,"Summer","caught by domestic animal","Non-selasphorus spp.","1287_ANHU"
"1288","7/12/1997","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",5,"Summer","found on the ground","Non-selasphorus spp.","1288_ANHU"
"1289","7/15/1997","Died","Lindsey","No","ANHU","Female-like","adult-like",3,"Summer","window hit","Non-selasphorus spp.","1289_ANHU"
"1290","7/16/1997","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Summer","caught by domestic animal","Non-selasphorus spp.","1290_ANHU"
"1291","7/17/1997","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","1291_ANHU"
"1292","7/26/1997","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Summer","caught by domestic animal","Non-selasphorus spp.","1292_ANHU"
"1293","7/27/1997","Died","Lindsey","Yes","ANHU","Female-like","adult-like",1,"Summer","found on the ground","Non-selasphorus spp.","1293_ANHU"
"1294","7/27/1997","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Summer","unknown","Non-selasphorus spp.","1294_ANHU"
"1295","8/1/1997","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Summer","found inside","Non-selasphorus spp.","1295_ANHU"
"1296","8/2/1997","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","1296_ANHU"
"1297","8/4/1997","Died","Lindsey","No","BCHU","Female-like","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","1297_BCHU"
"1298","8/10/1997","Released","Lindsey","No","ANHU","Female-like","adult-like",0,"Summer","caught by domestic animal","Non-selasphorus spp.","1298_ANHU"
"1299","8/12/1997","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","1299_ANHU"
"1300","8/14/1997","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",1,"Summer","nest-related","Non-selasphorus spp.","1300_ANHU"
"1301","8/20/1997","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Summer","caught by domestic animal","Non-selasphorus spp.","1301_ANHU"
